0,351,101,not in the zone,0:0:34
0,351,102,not in the zone,0:0:35
0,351,103,not in the zone,0:0:35
0,351,104,not in the zone,0:0:36
0,351,105,not in the zone,0:0:37
0,351,106,not in the zone,0:0:37
0,351,107,not in the zone,0:0:38
0,351,108,not in the zone,0:0:39
0,351,109,not in the zone,0:0:39
0,351,110,not in the zone,0:0:40
0,351,111,not in the zone,0:0:41
0,351,112,not in the zone,0:0:41
0,351,113,not in the zone,0:0:42
0,351,114,not in the zone,0:0:42
0,351,115,not in the zone,0:0:43
0,351,116,not in the zone,0:0:44
0,351,117,not in the zone,0:0:44
0,351,118,not in the zone,0:0:45
0,351,119,not in the zone,0:0:46
0,351,120,not in the zone,0:0:46
0,351,121,not in the zone,0:0:47
0,351,122,not in the zone,0:0:47
0,351,123,not in the zone,0:0:48
0,351,124,not in the zone,0:0:49
0,351,125,not in the zone,0:0:49
0,351,126,not in the zone,0:0:50
0,351,127,not in the zone,0:0:50
0,351,128,not in the zone,0:0:51
0,351,129,not in the zone,0:0:51
0,351,130,not in the zone,0:0:52
0,351,131,not in the zone,0:0:53
0,351,132,not in the zone,0:0:53
0,351,133,not in the zone,0:0:54
0,351,134,not in the zone,0:0:54
0,351,135,not in the zone,0:0:55
0,351,136,not in the zone,0:0:55
0,351,137,not in the zone,0:0:56
0,351,138,not in the zone,0:0:56
0,351,139,not in the zone,0:0:57
0,351,140,not in the zone,0:0:58
0,351,141,not in the zone,0:0:58
0,351,142,not in the zone,0:0:59
0,351,143,not in the zone,0:1:0
0,351,144,not in the zone,0:1:0
0,351,145,not in the zone,0:1:1
0,351,146,not in the zone,0:1:1
0,351,147,not in the zone,0:1:2
0,351,148,not in the zone,0:1:2
0,351,149,not in the zone,0:1:3
0,351,150,not in the zone,0:1:4
0,351,151,not in the zone,0:1:4
0,351,152,not in the zone,0:1:5
0,351,153,not in the zone,0:1:5
0,351,154,not in the zone,0:1:6
0,351,155,not in the zone,0:1:7
0,351,156,not in the zone,0:1:7
0,351,157,not in the zone,0:1:8
0,351,158,not in the zone,0:1:8
0,351,159,not in the zone,0:1:9
0,351,160,not in the zone,0:1:9
0,351,161,not in the zone,0:1:12
0,351,162,not in the zone,0:1:12
0,351,163,not in the zone,0:1:13
0,351,164,not in the zone,0:1:14
0,351,165,not in the zone,0:1:14
0,351,166,not in the zone,0:1:15
0,351,167,not in the zone,0:1:15
0,351,168,not in the zone,0:1:16
0,351,169,not in the zone,0:1:16
0,351,170,not in the zone,0:1:17
0,351,171,not in the zone,0:1:17
0,351,172,not in the zone,0:1:18
0,351,173,not in the zone,0:1:19
0,351,174,not in the zone,0:1:19
0,351,175,not in the zone,0:1:20
0,351,176,not in the zone,0:1:20
0,351,177,not in the zone,0:1:21
0,351,178,not in the zone,0:1:22
0,351,179,not in the zone,0:1:22
0,351,180,not in the zone,0:1:23
0,351,181,not in the zone,0:1:23
0,351,182,not in the zone,0:1:24
0,351,183,not in the zone,0:1:24
0,351,184,not in the zone,0:1:25
0,351,185,not in the zone,0:1:25
0,351,186,not in the zone,0:1:26
0,351,187,collision,0:1:27
0,351,187,not in the zone,0:1:27
0,351,187,reset,0:1:27
0,352,0,not in the zone,0:1:27
0,352,1,collision,0:1:28
0,352,1,not in the zone,0:1:28
0,352,1,reset,0:1:29
0,353,0,collision,0:1:29
0,353,0,not in the zone,0:1:29
0,353,0,reset,0:1:29
0,354,0,not in the zone,0:1:29
0,354,1,not in the zone,0:1:30
0,354,2,not in the zone,0:1:31
0,354,3,not in the zone,0:1:31
0,354,4,collision,0:1:32
0,354,4,not in the zone,0:1:32
0,354,4,reset,0:1:32
0,355,0,collision,0:1:32
0,355,0,not in the zone,0:1:33
0,355,0,reset,0:1:33
0,356,0,not in the zone,0:1:33
0,356,1,collision,0:1:34
0,356,1,not in the zone,0:1:34
0,356,1,reset,0:1:34
0,357,0,collision,0:1:34
0,357,0,not in the zone,0:1:34
0,357,0,reset,0:1:35
0,358,0,collision,0:1:35
0,358,0,not in the zone,0:1:35
0,358,0,reset,0:1:38
0,359,0,collision,0:1:38
0,359,0,not in the zone,0:1:38
0,359,0,reset,0:1:38
0,360,0,not in the zone,0:1:39
0,360,1,not in the zone,0:1:39
0,360,2,collision,0:1:40
0,360,2,not in the zone,0:1:40
0,360,2,reset,0:1:41
0,361,0,collision,0:1:41
0,361,0,not in the zone,0:1:41
0,361,0,reset,0:1:41
0,362,0,not in the zone,0:1:42
0,362,1,collision,0:1:42
0,362,1,not in the zone,0:1:42
0,362,1,reset,0:1:43
0,363,0,not in the zone,0:1:43
0,363,1,collision,0:1:44
0,363,1,not in the zone,0:1:44
0,363,1,reset,0:1:44
0,364,0,collision,0:1:44
0,364,0,not in the zone,0:1:44
0,364,0,reset,0:1:47
0,365,0,collision,0:1:47
0,365,0,not in the zone,0:1:47
0,365,0,reset,0:1:47
0,366,0,collision,0:1:47
0,366,0,not in the zone,0:1:47
0,366,0,reset,0:1:48
0,367,0,collision,0:1:48
0,367,0,not in the zone,0:1:48
0,367,0,reset,0:1:50
0,368,0,collision,0:1:50
0,368,0,not in the zone,0:1:50
0,368,0,reset,0:1:51
0,369,0,collision,0:1:51
0,369,0,not in the zone,0:1:51
0,369,0,reset,0:1:52
0,370,0,collision,0:1:52
0,370,0,not in the zone,0:1:52
0,370,0,reset,0:1:53
0,371,0,collision,0:1:53
0,371,0,not in the zone,0:1:53
0,371,0,reset,0:1:54
0,372,0,collision,0:1:54
0,372,0,not in the zone,0:1:54
0,372,0,reset,0:1:54
0,373,0,collision,0:1:54
0,373,0,not in the zone,0:1:54
0,373,0,reset,0:1:55
0,374,0,collision,0:1:55
0,374,0,not in the zone,0:1:55
0,374,0,reset,0:1:56
0,375,0,not in the zone,0:1:56
0,375,1,not in the zone,0:1:56
0,375,2,not in the zone,0:1:57
0,375,3,collision,0:1:58
0,375,3,not in the zone,0:1:58
0,375,3,reset,0:1:58
0,376,0,collision,0:1:58
0,376,0,not in the zone,0:1:58
0,376,0,reset,0:1:59
0,377,0,not in the zone,0:1:59
0,377,1,not in the zone,0:1:59
0,377,2,collision,0:2:0
0,377,2,not in the zone,0:2:0
0,377,2,reset,0:2:2
0,378,0,collision,0:2:2
0,378,0,not in the zone,0:2:2
0,378,0,reset,0:2:3
0,379,0,not in the zone,0:2:3
0,379,1,collision,0:2:4
0,379,1,not in the zone,0:2:4
0,379,1,reset,0:2:4
0,380,0,not in the zone,0:2:5
0,380,1,not in the zone,0:2:5
0,380,2,not in the zone,0:2:6
0,380,3,not in the zone,0:2:7
0,380,4,not in the zone,0:2:7
0,380,5,not in the zone,0:2:8
0,380,6,not in the zone,0:2:8
0,380,7,not in the zone,0:2:11
0,380,8,not in the zone,0:2:12
0,380,9,not in the zone,0:2:12
0,380,10,not in the zone,0:2:13
0,380,11,not in the zone,0:2:14
0,380,12,not in the zone,0:2:16
